Player,TRB,AST,STL,BLK,PTS
Richard Coffey,1.5,0.1,0.1,0.1,1.3
Fred Cofield,1.0,1.7,0.4,0.1,3.4
Norris Cole,2.0,2.7,0.8,0.1,7.0
Ben Coleman,4.1,0.6,0.4,0.4,6.6
Derrick Coleman,9.3,2.5,0.8,1.3,16.5
Norris Coleman,2.8,0.4,0.4,0.2,5.3
Bimbo Coles,2.1,3.9,0.9,0.2,7.8
Jason Collier,2.9,0.3,0.2,0.2,5.6
Don Collins,2.8,1.8,1.1,0.3,9.8
Doug Collins,3.2,3.3,1.2,0.3,17.9
James Collins,0.6,0.1,0.3,0.1,2.6
Jarron Collins,2.9,0.8,0.3,0.2,3.9
Jason Collins,3.7,0.9,0.5,0.5,3.6
John Collins,8.6,1.5,0.6,1.0,16.6
Mardy Collins,1.8,1.7,0.6,0.1,3.9
Sherron Collins,0.3,0.4,0.1,0.0,0.9
Zach Collins,4.0,0.9,0.3,0.7,5.7
Kyle Collinsworth,3.3,1.8,0.5,0.3,3.2
Darren Collison,2.7,5.0,1.2,0.1,12.5
Nick Collison,5.2,1.0,0.5,0.5,5.9
Bonzie Colson,3.8,0.4,0.6,0.1,4.9
Sean Colson,0.5,0.8,0.1,0.0,1.2
Steve Colter,2.0,2.8,0.9,0.1,6.3
Leroy Combs,1.2,0.8,0.5,0.4,4.5
Dallas Comegys,3.2,0.7,0.5,0.9,6.0
Mike Conley,3.0,5.6,1.4,0.2,14.9
Marty Conlon,3.5,1.0,0.4,0.2,6.5
Pat Connaughton,3.1,1.3,0.4,0.3,5.1
Lester Conner,2.7,3.9,1.6,0.1,6.3
Will Conroy,0.7,1.0,0.0,0.0,0.4
Anthony Cook,3.7,0.3,0.4,0.8,3.6
Brian Cook,2.6,0.6,0.3,0.3,5.5
Daequan Cook,2.1,0.7,0.4,0.1,6.4
Darwin Cook,2.1,3.7,1.7,0.3,9.5
Jeff Cook,4.5,1.4,0.6,0.4,5.3
Omar Cook,0.6,2.1,0.7,0.0,1.7
Quinn Cook,1.7,1.6,0.3,0.0,6.4
Charles Cooke,0.2,0.1,0.1,0.0,0.5
Duane Cooper,0.7,2.0,0.2,0.0,2.3
Michael Cooper,3.2,4.2,1.2,0.6,8.9
Wayne Cooper,6.2,0.9,0.3,1.6,7.9
Chris Copeland,1.6,0.6,0.2,0.2,5.8
Hollis Copeland,1.7,1.0,0.7,0.3,5.0
Lanard Copeland,0.5,0.4,0.1,0.0,2.7
Tyrone Corbin,4.7,1.8,1.2,0.3,9.2
Chris Corchiani,1.2,2.2,0.7,0.0,3.7
Dave Corzine,5.9,1.7,0.4,1.0,8.5
Bryce Cotton,0.8,0.8,0.3,0.0,3.8
James Cotton,0.8,0.0,0.2,0.1,2.6
Joe Courtney,1.5,0.3,0.2,0.2,2.8
DeMarcus Cousins,10.7,3.2,1.4,1.2,20.8
Robert Covington,5.8,1.5,1.7,0.9,12.3
Dave Cowens,13.6,3.8,1.1,0.9,17.6
Chubby Cox,1.4,0.9,0.0,0.1,4.1
Allen Crabbe,2.8,1.1,0.6,0.3,9.1
Torrey Craig,3.3,0.8,0.4,0.5,5.1
Chris Crawford,2.2,0.6,0.4,0.3,6.6
Jamal Crawford,2.2,3.4,0.9,0.2,14.6
Joe Crawford,2.0,0.5,0.5,0.0,4.5
Jordan Crawford,2.5,3.1,0.7,0.1,12.2
Mitch Creek,2.4,1.2,0.4,0.0,4.2
Joe Crispin,0.5,1.2,0.2,0.0,3.8
Charlie Criss,1.4,3.2,0.9,0.1,8.5
Javaris Crittenton,2.4,1.8,0.5,0.1,5.3
Austin Croshere,4.0,1.0,0.4,0.3,6.8
John Crotty,1.1,2.1,0.4,0.0,4.0
Corey Crowder,0.8,0.3,0.1,0.0,2.1
Jae Crowder,4.2,1.6,1.0,0.3,9.6
Jarrett Culver,3.5,1.4,0.8,0.5,8.3
Pat Cummings,5.6,1.2,0.5,0.3,9.6
Terry Cummings,7.3,1.9,1.1,0.5,16.4
Vonteego Cummings,1.9,2.7,0.9,0.2,6.9
Dante Cunningham,3.7,0.7,0.6,0.5,5.8
Jared Cunningham,0.7,0.5,0.3,0.0,2.3
Earl Cureton,4.7,1.0,0.5,0.5,5.4
Bill Curley,2.0,0.4,0.4,0.3,2.7
Dell Curry,2.4,1.8,0.9,0.2,11.7
Eddy Curry,5.2,0.5,0.3,0.7,12.9
Michael Curry,1.6,1.2,0.5,0.1,4.5
Seth Curry,2.0,1.9,0.7,0.1,10.4
Stephen Curry,4.6,6.6,1.7,0.2,23.8
Rastko Cvetković,0.8,0.2,0.1,0.1,0.7
Quintin Dailey,2.5,2.3,0.9,0.1,14.1
Samuel Dalembert,7.8,0.5,0.5,1.7,7.7
Erick Dampier,7.1,0.8,0.3,1.4,7.4
Bob Dandridge,6.8,3.4,1.3,0.6,18.5
Antonio Daniels,1.8,3.4,0.6,0.1,7.6
Lloyd Daniels,2.2,1.6,0.5,0.3,7.1
Marquis Daniels,2.8,1.8,0.9,0.3,7.9
Troy Daniels,1.3,0.5,0.3,0.1,6.6
Sasha Danilović,2.4,2.0,0.9,0.2,12.8
Adrian Dantley,5.7,3.0,1.0,0.2,24.3
Luigi Datome,1.4,0.4,0.1,0.1,3.4
Brad Daugherty,9.5,3.7,0.8,0.7,19.0
Kornél Dávid,2.8,0.6,0.4,0.2,5.0
Brandon Davies,2.5,0.7,0.5,0.2,3.7
Anthony Davis,10.3,2.3,1.4,2.4,23.9
Antonio Davis,7.5,1.1,0.5,1.0,10.0
Baron Davis,3.8,7.2,1.8,0.4,16.1
Brad Davis,1.8,4.9,0.8,0.2,8.2
Brian Davis,0.8,0.3,0.2,0.1,1.9
Charles Davis,2.4,0.7,0.3,0.2,5.3
Dale Davis,7.9,0.9,0.6,1.2,8.0
Deyonta Davis,3.2,0.4,0.2,0.6,4.2
Ed Davis,6.6,0.8,0.5,0.8,6.2
Emanual Davis,1.9,1.8,0.7,0.1,4.9
Glen Davis,4.4,0.9,0.7,0.3,8.0
Hubert Davis,1.5,1.7,0.4,0.1,8.2
Johnny Davis,2.0,4.5,0.9,0.2,12.9
Josh Davis,1.7,0.3,0.3,0.1,2.3
Mark Davis,1.1,0.4,0.4,0.2,3.8
Mark Davis,3.0,1.3,0.9,0.3,5.5
Paul Davis,1.9,0.4,0.3,0.2,2.6
Ricky Davis,3.5,3.3,1.0,0.3,13.5
Ron Davis,1.8,0.7,0.6,0.1,5.3
Terence Davis,2.9,1.4,0.6,0.2,7.4
Terry Davis,6.0,0.6,0.4,0.3,6.4
Walter Davis,3.0,3.8,1.2,0.1,18.9
Darryl Dawkins,6.1,1.3,0.5,1.4,12.0
Johnny Dawkins,2.5,5.5,1.1,0.1,11.1
Tony Dawson,0.8,0.2,0.0,0.0,2.8
Todd Day,3.4,1.5,1.1,0.6,12.3
Austin Daye,2.6,0.7,0.4,0.4,5.2
Darren Daye,2.6,2.0,0.6,0.2,6.8
Nando De Colo,1.8,1.7,0.5,0.1,3.8
Andrew DeClercq,4.2,0.6,0.7,0.5,4.8
DeMar DeRozan,4.4,3.7,1.0,0.3,20.1
Dewayne Dedmon,6.0,0.7,0.5,0.9,6.4
Terry Dehere,1.5,2.6,0.5,0.1,8.0
Bryce Dejean-Jones,3.4,1.1,0.7,0.1,5.6
Sam Dekker,3.0,0.8,0.5,0.2,5.5
Vinny Del Negro,2.3,3.2,0.7,0.1,9.1
Malcolm Delaney,1.8,2.8,0.6,0.1,5.7
Bison Dele,6.2,1.1,0.8,0.9,11.0
Carlos Delfino,3.6,1.7,0.9,0.2,8.1
Tony Delk,2.5,1.9,0.8,0.1,9.1
Matthew Dellavedova,1.8,3.7,0.5,0.0,5.6
Fennis Dembo,0.7,0.2,0.0,0.0,1.2
Larry Demic,3.9,0.5,0.3,0.2,4.7
Dell Demps,0.5,0.5,0.3,0.1,3.0
Luol Deng,6.1,2.3,1.0,0.5,14.8
Kenny Dennard,3.0,1.0,0.8,0.2,2.8
Justin Dentmon,1.0,1.3,0.3,0.0,3.3
Marcus Derrickson,1.2,0.1,0.0,0.1,4.2
Donte DiVincenzo,4.5,2.3,1.1,0.3,8.8
Derrick Dial,1.6,0.8,0.3,0.1,3.1
Cheick Diallo,4.2,0.4,0.3,0.4,5.3
Hamidou Diallo,3.4,1.0,0.7,0.3,7.1
Boris Diaw,4.4,3.5,0.6,0.5,8.6
Yakhouba Diawara,1.4,0.7,0.3,0.1,3.5
Guillermo Díaz,0.3,0.2,0.0,0.0,0.8
Dan Dickau,1.4,2.5,0.5,0.0,5.8
Kaniel Dickens,0.6,0.1,0.1,0.1,1.2
Michael Dickerson,2.9,2.6,1.0,0.4,15.4
Travis Diener,1.4,2.4,0.4,0.1,4.8
Gorgui Dieng,6.1,1.4,0.8,1.0,7.9
Mickey Dillard,0.5,1.0,0.2,0.1,2.2
Byron Dinkins,1.2,2.1,0.5,0.0,3.4
Spencer Dinwiddie,2.8,5.0,0.7,0.3,12.9
Ike Diogu,3.1,0.3,0.2,0.3,6.0
DeSagana Diop,3.7,0.4,0.4,1.0,2.0
Vlade Divac,8.2,3.1,1.1,1.4,11.8
Juan Dixon,1.9,1.8,0.8,0.1,8.4
Michael Doleac,3.3,0.6,0.3,0.4,4.9
Luka Dončić,8.4,7.7,1.0,0.4,25.6
Billy Donovan,0.6,2.0,0.4,0.0,2.4
Keyon Dooling,1.3,2.2,0.6,0.1,7.0
Aleksandar Đorđević,0.6,0.6,0.0,0.0,3.1
Joey Dorsey,3.9,0.4,0.5,0.3,2.6
Tyler Dorsey,2.3,1.3,0.3,0.1,6.7
Luguentz Dort,2.9,1.2,0.9,0.2,9.9
Damyean Dotson,2.5,1.5,0.5,0.1,7.6
Quincy Douby,1.1,0.7,0.3,0.1,4.1
Bruce Douglas,1.8,2.1,1.1,0.0,1.8
John Douglas,1.4,2.2,0.7,0.1,6.7
Leon Douglas,6.5,1.1,0.5,0.7,7.9
Sherman Douglas,2.2,5.9,1.0,0.1,11.0
Toney Douglas,2.2,2.3,0.9,0.1,7.6
Chris Douglas-Roberts,2.1,1.1,0.6,0.2,7.1
Sekou Doumbouya,2.6,0.5,0.4,0.1,5.0
Zabian Dowdell,0.8,2.1,0.8,0.1,5.0
Milton Doyle,1.8,1.0,0.6,0.2,3.4
PJ Dozier,2.8,1.7,0.5,0.3,6.0
Terry Dozier,1.7,0.3,0.7,0.2,2.4
Goran Dragić,3.1,4.8,1.0,0.2,13.9
Zoran Dragić,0.5,0.3,0.1,0.0,1.8
Greg Dreiling,2.1,0.4,0.2,0.3,2.1
Bryce Drew,1.2,2.2,0.5,0.0,4.4
John Drew,6.9,1.7,1.4,0.3,20.7
Larry Drew,1.8,5.2,1.1,0.1,11.4
Larry Drew,0.8,2.5,0.3,0.0,2.9
Clyde Drexler,6.1,5.6,2.0,0.7,20.4
Nate Driggers,1.5,0.4,0.2,0.1,2.4
Predrag Drobnjak,3.5,0.8,0.5,0.4,7.9
Andre Drummond,13.8,1.4,1.4,1.5,14.6
Kevin Duckworth,5.8,0.9,0.5,0.5,11.8
Chris Dudley,6.2,0.4,0.4,1.2,3.9
Jared Dudley,3.2,1.5,0.8,0.2,7.3
Terry Duerod,1.1,1.2,0.4,0.1,6.7
Chris Duhon,2.3,4.4,0.8,0.1,6.5
Joe Dumars,2.2,4.5,0.9,0.1,16.1
Richard Dumas,3.4,1.1,1.3,0.5,10.6
Tony Dumas,1.3,1.2,0.4,0.1,7.3
Tim Duncan,10.8,3.0,0.7,2.2,19.0
Mike Dunleavy,1.6,3.9,0.8,0.1,8.0
Mike Dunleavy,4.3,2.2,0.7,0.3,11.2
Kris Dunn,3.3,4.2,1.5,0.4,8.3
T.R. Dunn,4.4,1.6,1.3,0.3,5.1
Ronald Dupree,2.2,0.6,0.4,0.2,3.5
Kevin Durant,7.1,4.1,1.1,1.1,27.1
John Duren,1.1,2.0,0.5,0.1,3.5
Pat Durham,1.7,0.9,0.6,0.5,5.0
Devin Durrant,2.1,1.3,0.3,0.2,5.0
Craig Dykema,0.4,0.5,0.1,0.0,1.3
Jerome Dyson,2.1,2.0,1.2,0.2,7.4
Ledell Eackles,2.2,1.7,0.6,0.1,10.8
Acie Earl,2.7,0.3,0.3,0.7,5.1
Cleanthony Early,2.2,0.8,0.5,0.3,4.3
Mark Eaton,7.9,1.0,0.4,3.5,6.0
Jerry Eaves,1.2,2.5,0.5,0.0,6.7
Devin Ebanks,1.9,0.4,0.3,0.2,3.6
Ndudi Ebi,1.0,0.2,0.1,0.3,2.1
Jarell Eddie,0.9,0.1,0.2,0.0,2.6
Keith Edmonson,1.5,0.6,0.4,0.1,6.0
Tyus Edney,1.7,4.0,1.0,0.0,7.6
Anthony Edwards,4.3,2.6,1.0,0.5,17.4
Bill Edwards,4.7,1.3,1.0,0.3,2.0
Blue Edwards,3.4,2.0,1.0,0.4,10.8
Carsen Edwards,1.2,0.6,0.3,0.1,3.8
Doug Edwards,1.8,0.7,0.2,0.3,2.4
Franklin Edwards,1.0,2.6,0.8,0.1,6.1
James Edwards,5.1,1.3,0.4,0.7,12.7
Jay Edwards,0.5,1.0,0.3,0.0,1.8
Kevin Edwards,2.7,2.7,1.4,0.3,10.9
Craig Ehlo,3.6,2.8,1.1,0.3,8.6
Howard Eisley,1.7,3.5,0.7,0.1,6.5
Obinna Ekezie,2.7,0.2,0.3,0.2,3.6
Khalid El-Amin,1.6,2.9,1.0,0.0,6.3
Mario Elie,2.8,2.6,0.9,0.2,8.6
CJ Elleby,1.2,0.2,0.3,0.2,2.6
Henry Ellenson,2.5,0.6,0.2,0.0,4.1
Wayne Ellington,2.2,1.1,0.5,0.1,8.1
Sean Elliott,4.3,2.6,0.8,0.4,14.2
Dale Ellis,3.5,1.4,0.8,0.2,15.7
Harold Ellis,2.0,0.6,1.1,0.1,5.8
LaPhonso Ellis,6.5,1.6,0.7,0.8,11.9
Monta Ellis,3.5,4.6,1.7,0.3,17.8
Pervis Ellison,6.7,1.5,0.6,1.6,9.5
Francisco Elson,3.5,0.6,0.5,0.5,3.7
Melvin Ely,3.2,0.7,0.3,0.6,5.3
Joel Embiid,11.5,3.1,0.8,1.7,24.7
Andre Emmett,0.6,0.1,0.1,0.1,1.4
A.J. English,2.1,2.1,0.4,0.2,9.9
Alex English,5.5,3.6,0.9,0.7,21.5
Jo Jo English,1.1,0.9,0.4,0.3,3.6
Kim English,0.9,0.6,0.4,0.1,2.9
James Ennis,3.3,0.9,0.6,0.3,6.6
Tyler Ennis,1.3,1.9,0.5,0.1,4.2
Vincenzo Esposito,0.5,0.8,0.2,0.0,3.9
Drew Eubanks,3.0,0.6,0.2,0.7,3.8
Brian Evans,1.6,0.8,0.3,0.2,3.7
Jacob Evans,1.1,0.9,0.3,0.3,2.8
Jawun Evans,1.7,2.0,0.7,0.1,4.2
Jeremy Evans,2.6,0.4,0.4,0.5,3.5
Maurice Evans,2.5,0.7,0.5,0.2,6.7
Mike Evans,1.4,2.6,0.7,0.1,7.7
Reggie Evans,7.1,0.6,0.7,0.1,4.1
Tyreke Evans,4.6,4.8,1.2,0.4,15.7
Daniel Ewing,1.2,1.4,0.5,0.1,3.4
Patrick Ewing,9.8,1.9,1.0,2.4,21.0
Patrick Ewing,0.3,0.3,0.0,0.1,0.4
Dante Exum,1.8,2.1,0.4,0.2,5.7
Christian Eyenga,2.7,0.8,0.7,0.6,6.3
Kenneth Faried,8.1,1.0,0.7,0.8,11.4
Jordan Farmar,1.9,2.9,0.8,0.1,7.7
Desmon Farmer,0.6,1.0,0.1,0.0,2.4
Jim Farmer,1.4,0.8,0.3,0.0,5.3
Tony Farmer,3.2,0.8,0.8,0.2,5.3
Vítor Faverani,3.5,0.4,0.4,0.7,4.4
Derrick Favors,7.3,1.1,0.8,1.2,11.0
Nick Fazekas,3.4,0.4,0.3,0.4,4.1
Jamie Feick,7.1,0.7,0.6,0.4,4.5
Dave Feitl,3.0,0.5,0.2,0.2,4.3
Kay Felder,1.0,1.3,0.4,0.1,3.8
Cristiano Felício,4.0,0.7,0.3,0.2,4.4
Carrick Felix,0.9,0.6,0.0,0.0,2.7
Noel Felix,1.1,0.2,0.2,0.3,1.5
Raymond Felton,3.0,5.2,1.2,0.2,11.2
Desmond Ferguson,0.6,0.1,0.0,0.0,1.9
Terrance Ferguson,1.3,0.7,0.5,0.2,4.5
Rudy Fernández,2.4,2.2,1.0,0.2,9.1
Bruno Fernando,3.3,0.7,0.3,0.3,3.4
Duane Ferrell,1.9,0.9,0.5,0.2,6.4
Yogi Ferrell,2.1,2.3,0.6,0.1,7.8
Danny Ferry,2.8,1.3,0.4,0.3,7.0
Kyrylo Fesenko,2.0,0.3,0.1,0.4,2.3
Kenny Fields,2.5,1.0,0.5,0.2,6.2
Landry Fields,4.3,1.6,0.8,0.2,6.8
Michael Finley,4.4,2.9,0.9,0.3,15.7
Dorian Finney-Smith,4.4,1.2,0.7,0.4,7.1
Matt Fish,2.2,0.5,0.4,0.3,3.5
Derek Fisher,2.1,3.0,1.1,0.1,8.3
Gerald Fitch,1.7,1.8,0.4,0.3,4.7
Marcus Fizer,4.6,1.2,0.5,0.3,9.6
Vern Fleming,3.4,4.8,1.0,0.1,11.3
Luis Flores,0.2,0.7,0.1,0.0,2.2
Bruce Flowers,3.4,0.9,0.4,0.2,4.9
Sleepy Floyd,2.6,5.4,1.2,0.2,12.8
Jonny Flynn,1.9,3.9,0.7,0.0,9.2
Malachi Flynn,1.1,1.5,0.4,0.0,2.8
Isaac Fontaine,0.8,0.7,0.0,0.0,1.8
Bryn Forbes,1.8,1.3,0.4,0.0,9.0
Gary Forbes,2.0,0.9,0.4,0.1,5.8
Alphonso Ford,1.8,0.9,0.3,0.0,3.2
Chris Ford,3.0,3.4,1.6,0.3,9.2
Don Ford,3.6,1.4,0.6,0.3,6.4
Phil Ford,1.8,6.4,1.2,0.1,11.6
Sherell Ford,0.9,0.2,0.3,0.0,3.2
T.J. Ford,3.1,5.8,1.2,0.1,11.2
Trent Forrest,0.5,0.8,0.2,0.0,0.7
Joseph Forte,0.7,0.7,0.2,0.0,1.2
Courtney Fortson,1.5,1.0,0.3,0.0,3.5
Danny Fortson,7.2,0.7,0.4,0.2,8.2
Greg Foster,2.6,0.5,0.1,0.3,3.9
Jeff Foster,6.9,0.9,0.7,0.4,4.9
Rod Foster,1.2,2.3,0.7,0.0,7.5
Antonis Fotsis,2.2,0.4,0.3,0.4,3.9
Evan Fournier,2.7,2.6,0.9,0.1,14.3
Tremaine Fowlkes,2.2,0.5,0.5,0.1,2.9
De'Aaron Fox,3.4,6.3,1.4,0.5,17.8
Rick Fox,3.8,2.8,1.0,0.4,9.6
Randy Foye,2.2,2.8,0.7,0.3,10.3
Adonal Foyle,4.7,0.5,0.4,1.6,4.1
Richie Frahm,1.2,0.6,0.3,0.1,3.6
Steve Francis,5.6,6.0,1.5,0.4,18.1
Tellis Frank,3.9,1.0,0.6,0.4,6.5
Jamaal Franklin,1.0,0.4,0.2,0.1,1.8
Melvin Frazier,0.5,0.1,0.3,0.1,1.9
Michael Frazier,0.8,0.2,0.2,0.0,2.1
Tim Frazier,2.3,4.0,0.7,0.1,5.0
Anthony Frederick,1.9,0.9,0.5,0.3,4.9
Jimmer Fredette,1.0,1.4,0.4,0.0,6.0
World B. Free,2.7,3.7,1.0,0.3,20.3
Joel Freeland,3.4,0.4,0.2,0.4,3.2
Matt Freije,2.0,0.6,0.4,0.1,3.2
Channing Frye,4.5,1.0,0.5,0.6,8.7
Todd Fuller,3.0,0.2,0.2,0.3,3.7
Markelle Fultz,3.3,4.6,1.1,0.2,10.9
Lawrence Funderburke,3.6,0.6,0.3,0.3,6.4
Wenyen Gabriel,1.7,0.4,0.3,0.2,1.7
Dan Gadzuric,4.4,0.4,0.5,0.9,4.7
Corey Gaines,0.9,3.1,0.5,0.1,3.1
Reece Gaines,0.7,0.7,0.2,0.0,1.7
Sundiata Gaines,1.5,1.8,0.7,0.0,4.5
Danilo Gallinari,4.8,2.0,0.8,0.4,16.0
Langston Galloway,2.5,1.6,0.7,0.1,8.2
Kevin Gamble,2.2,2.0,0.7,0.3,9.5
Jorge Garbajosa,4.7,1.7,1.1,0.2,8.0
Alex Garcia,1.5,1.8,0.6,0.1,4.7
Francisco García,2.6,1.4,0.8,0.7,7.9
Thomas Gardner,0.6,0.2,0.2,0.1,2.3
Darius Garland,2.1,4.6,0.9,0.1,13.9
Winston Garland,2.8,4.7,1.3,0.2,9.4
Chris Garner,0.8,1.4,0.6,0.1,1.6
Bill Garnett,4.3,1.3,0.5,0.6,5.5
Kevin Garnett,10.0,3.7,1.3,1.4,17.8
Marlon Garnett,0.9,0.8,0.2,0.0,2.1
Billy Garrett,0.8,1.8,0.3,0.3,6.5
Calvin Garrett,2.6,1.5,0.6,0.1,5.2
Diante Garrett,1.2,1.7,0.6,0.1,3.2
Tom Garrick,2.0,3.4,1.1,0.1,5.4
Kiwane Garris,0.6,1.0,0.2,0.0,2.3
Pat Garrity,2.6,0.8,0.4,0.2,7.3
Marc Gasol,7.5,3.4,0.9,1.4,14.2
Pau Gasol,9.2,3.2,0.5,1.6,17.0
Chris Gatling,5.3,0.7,0.7,0.5,10.3
Kenny Gattison,4.7,0.9,0.6,0.7,7.9
Rudy Gay,5.9,2.2,1.2,0.8,16.9
Andrew Gaze,0.5,0.4,0.2,0.1,1.7
Michael Gbinije,0.3,0.2,0.0,0.0,0.4
Reggie Geary,0.8,1.1,0.5,0.1,2.1
Alonzo Gee,3.3,1.1,0.9,0.2,6.6
Matt Geiger,5.7,0.7,0.6,0.6,9.2
Mickaël Gelabale,2.3,0.8,0.3,0.2,4.6
Devean George,3.1,0.9,0.7,0.4,5.6
Paul George,6.4,3.5,1.7,0.4,20.1
Tate George,1.0,1.8,0.4,0.1,4.2
Marcus Georges-Hunt,0.5,0.2,0.1,0.0,1.6
Derrick Gervin,2.3,0.5,0.5,0.3,8.8
Daniel Gibson,2.0,2.0,0.6,0.2,7.8
Jonathan Gibson,1.2,1.4,0.4,0.0,6.7
Taj Gibson,6.2,1.0,0.6,1.0,9.4
J.R. Giddens,1.4,0.3,0.3,0.1,1.9
Harry Giles,4.1,1.3,0.5,0.4,6.2
Shai Gilgeous-Alexander,4.3,3.8,1.1,0.6,16.3
Anthony Gill,1.5,0.3,0.2,0.2,0.9
Eddie Gill,1.1,1.2,0.6,0.1,3.1
Kendall Gill,4.1,3.0,1.6,0.4,13.4
Armen Gilliam,6.9,1.2,0.7,0.7,13.7
Manu Ginóbili,3.5,3.8,1.3,0.3,13.3
Gordan Giriček,2.5,1.5,0.6,0.1,9.6
Gerald Glass,2.5,1.5,0.6,0.3,7.7
Mike Glenn,1.2,1.6,0.5,0.1,7.6
Georgi Glouchkov,3.3,0.7,0.5,0.5,4.9
Dion Glover,3.1,1.5,0.8,0.2,8.2
Mike Gminski,6.9,1.3,0.5,1.1,11.7
Rudy Gobert,11.2,1.4,0.7,2.2,12.0
Dan Godfread,0.2,0.0,0.1,0.4,1.2
Anthony Goldwire,1.3,2.8,0.6,0.0,6.3
Ryan Gomes,4.6,1.5,0.7,0.2,10.1
Glen Gondrezick,4.5,1.4,1.1,0.3,5.8
Grant Gondrezick,1.6,1.3,0.4,0.1,5.0
Drew Gooden,7.1,1.1,0.7,0.6,11.0
Steve Goodrich,1.2,0.5,0.1,0.1,1.1
Archie Goodwin,2.0,1.2,0.4,0.2,6.3
Brandon Goodwin,1.3,1.4,0.3,0.0,4.4
Aaron Gordon,6.4,2.5,0.8,0.6,12.9
Ben Gordon,2.5,2.5,0.7,0.2,14.9
Drew Gordon,2.0,0.2,0.1,0.0,1.9
Eric Gordon,2.5,2.8,0.9,0.3,16.6
Lancaster Gordon,1.3,1.5,0.6,0.2,5.6
Marcin Gortat,7.9,1.1,0.5,1.1,9.9
Andrew Goudelock,0.7,0.5,0.2,0.0,4.0
Devonte' Graham,2.6,5.3,0.8,0.1,12.9
Greg Graham,1.1,1.0,0.6,0.1,4.5
Joey Graham,2.8,0.5,0.4,0.1,5.9
Paul Graham,2.4,2.0,1.0,0.2,8.4
Stephen Graham,1.8,0.5,0.2,0.1,4.0
Treveon Graham,2.2,0.8,0.4,0.1,4.2
Jim Grandholm,1.9,0.3,0.1,0.3,3.0
Ron Grandison,1.6,0.6,0.3,0.1,2.4
Danny Granger,4.9,1.9,1.0,0.8,16.8
Stewart Granger,1.0,2.2,0.4,0.0,4.0
Brian Grant,7.4,1.2,0.6,0.7,10.5
Gary Grant,2.3,5.5,1.5,0.1,7.9
Greg Grant,0.9,2.7,0.6,0.0,2.8
Harvey Grant,4.4,1.6,0.8,0.5,9.9
Horace Grant,8.1,2.2,1.0,1.0,11.2
Jerami Grant,3.9,1.2,0.6,1.1,10.5
Jerian Grant,1.9,2.9,0.7,0.1,6.1
Josh Grant,1.7,0.5,0.3,0.2,3.0
Butch Graves,0.5,0.3,0.3,0.0,1.3
Aaron Gray,3.7,0.7,0.3,0.3,3.4
Ed Gray,1.2,0.8,0.5,0.2,6.2
Evric Gray,0.6,0.4,0.2,0.0,2.6
Josh Gray,1.7,2.0,1.1,0.3,4.9
Stuart Gray,2.6,0.4,0.2,0.3,2.3
Sylvester Gray,5.2,2.1,0.7,0.5,8.0
Jeff Grayer,3.0,1.4,0.6,0.1,7.4
A.C. Green,7.4,1.1,0.8,0.4,9.6
Danny Green,3.5,1.6,1.0,0.8,9.0
Devin Green,0.9,0.3,0.1,0.0,0.9
Draymond Green,6.9,5.2,1.4,1.0,8.8
Erick Green,0.7,0.8,0.3,0.0,3.1
Gerald Green,2.5,0.9,0.5,0.3,9.7
JaMychal Green,6.1,0.9,0.6,0.4,8.2
